   R( 30, 15) =      14.1143
   R( 30, 16) =      13.6878
   R( 30, 17) =      14.8513
   R( 30, 18) =      16.6577
   R( 30, 19) =      15.6293
   R( 30, 20) =      16.2979
   R( 30, 21) =       9.3675
   R( 30, 22) =       8.0022
   R( 30, 23) =       6.7128
   R( 30, 24) =       5.3348
   R( 30, 25) =       7.0572
   R( 30, 26) =       8.1490
   R( 30, 27) =       5.5526
   R( 30, 28) =       2.6674
   R( 30, 29) =       1.5400
   R( 31,  0) =      10.6696
   R( 31,  1) =       9.3676
   R( 31,  2) =       8.0022
   R( 31,  3) =       7.7001
   R( 31,  4) =       8.1490
   R( 31,  5) =       7.0572
   R( 31,  6) =       8.1490
   R( 31,  7) =       9.6174
   R( 31,  8) =       9.2401
   R( 31,  9) =      10.0985
   R( 31, 10) =      10.7801
   R( 31, 11) =       9.6174
   R( 31, 12) =      10.0985
   R( 31, 13) =      12.2233
   R( 31, 14) =      11.6269
   R( 31, 15) =      12.6054
   R( 31, 16) =      11.6268
   R( 31, 17) =      12.3201
   R( 31, 18) =      14.6907
   R( 31, 19) =      14.1143
   R( 31, 20) =      13.8601
   R( 31, 21) =       7.0573
   R( 31, 22) =       5.5526
   R( 31, 23) =       5.3348
   R( 31, 24) =       4.0745
   R( 31, 25) =       3.0800
   R( 31, 26) =       4.6201
   R( 31, 27) =       2.6674
   R( 31, 28) =       4.0745
   R( 31, 29) =       5.3349
   R( 31, 30) =       5.5527
   R( 32,  0) =       9.3675
   R( 32,  1) =       8.0022
   R( 32,  2) =       6.7127
   R( 32,  3) =       7.0573
   R( 32,  4) =       7.0572
   R( 32,  5) =       6.7128
   R( 32,  6) =       8.0022
   R( 32,  7) =       9.3676
   R( 32,  8) =       8.5744
   R( 32,  9) =       9.6174
   R( 32, 10) =       9.6173
   R( 32, 11) =       8.5744
   R( 32, 12) =       9.2401
   R( 32, 13) =      11.1050
   R( 32, 14) =      11.1053
   R( 32, 15) =      11.6267
   R( 32, 16) =      10.7800
   R( 32, 17) =      11.6268
   R( 32, 18) =      13.8601
