   R( 29, 22) =       8.0022
   R( 29, 23) =       6.7128
   R( 29, 24) =       7.0685
   R( 29, 25) =       8.5838
   R( 29, 26) =       9.3676
   R( 29, 27) =       9.6175
   R( 29, 28) =       1.5400
   R( 30,  0) =       9.6174
   R( 30,  1) =      10.7801
   R( 30,  2) =       8.1490
   R( 30,  3) =       7.0572
   R( 30,  4) =       5.3348
   R( 30,  5) =       5.5526
   R( 30,  6) =       4.6200
   R( 30,  7) =       4.0745
   R( 30,  8) =       2.6674
   R( 30,  9) =       1.5400
   R( 30, 10) =       2.6674
   R( 30, 11) =       4.0745
   R( 30, 12) =       4.6201
   R( 30, 13) =       5.3348
   R( 30, 14) =       6.7128
   R( 30, 15) =       9.3676
   R( 30, 16) =       8.0022
   R( 30, 17) =      10.6696
   R( 30, 18) =       9.6174
   R( 30, 19) =       6.6898
   R( 30, 20) =       7.9732
   R( 30, 21) =       9.3428
   R( 30, 22) =       7.0573
   R( 30, 23) =       6.1601
   R( 30, 24) =       7.0465
   R( 30, 25) =       8.5656
   R( 30, 26) =       8.5745
   R( 30, 27) =       9.2402
   R( 30, 28) =       3.0800
   R( 30, 29) =       2.6674
   R( 31,  0) =       4.6706
   R( 31,  1) =       4.1317
   R( 31,  2) =       4.1129
   R( 31,  3) =       5.3642
   R( 31,  4) =       4.6205
   R( 31,  5) =       5.5670
   R( 31,  6) =       7.0686
   R( 31,  7) =       5.5389
   R( 31,  8) =       7.0465
   R( 31,  9) =       8.1302
   R( 31, 10) =       7.9732
   R( 31, 11) =       6.6782
   R( 31, 12) =       5.3059
   R( 31, 13) =       7.0132
   R( 31, 14) =       6.1095
   R( 31, 15) =       6.6547
   R( 31, 16) =       7.0020
   R( 31, 17) =       2.7257
   R( 31, 18) =       5.2763
   R( 31, 19) =       3.0801
   R( 31, 20) =       2.6674
   R( 31, 21) =       1.5400
   R( 31, 22) =       4.5696
   R( 31, 23) =       4.0365
   R( 31, 24) =       2.6674
   R( 31, 25) =       1.5400
   R( 31, 26) =       4.0172
   R( 31, 27) =       2.6090
   R( 31, 28) =       7.7004
   R( 31, 29) =       9.2404
   R( 31, 30) =       9.6014
   R( 32,  0) =       5.5947
   R( 32,  1) =       4.6706
   R( 32,  2) =       5.3642
   R( 32,  3) =       6.7362
   R( 32,  4) =       6.1604
   R( 32,  5) =       7.0685
   R( 32,  6) =       8.5838
   R( 32,  7) =       7.0465
   R( 32,  8) =       8.5656
   R( 32,  9) =       9.6014
   R( 32, 10) =       9.3428
   R( 32, 11) =       7.9732
   R( 32, 12) =       6.6898
   R( 32, 13) =       8.1109
   R( 32, 14) =       7.0132
   R( 32, 15) =       7.0020
   R( 32, 16) =       7.6495
   R( 32, 17) =       3.1306
   R( 32, 18) =       5.4965
   R( 32, 19) =       4.6201
   R( 32, 20) =       4.0745
   R( 32, 21) =       2.6674
   R( 32, 22) =       5.5107
   R( 32, 23) =       5.3058
   R( 32, 24) =       4.0745
   R( 32, 25) =       2.6674
   R( 32, 26) =       4.5696
   R( 32, 27) =       3.0296
   R( 32, 28) =       9.2404
   R( 32, 29) =      10.7803
   R( 32, 30) =      11.0914
   R( 32, 31) =       1.5400
   R( 33,  0) =       7.7506
   R( 33,  1) =       7.1123
   R( 33,  2) =       7.1014
   R( 33,  3) =       8.1873
   R( 33,  4) =       6.7362
   R( 33,  5) =       8.0315
   R( 33,  6) =       9.3926
   R( 33,  7) =       7.0685
   R( 33,  8) =       8.5838
   R( 33,  9) =       9.2404
   R( 33, 10) =       8.5656
   R( 33, 11) =       7.0465
   R( 33, 12) =       6.1604
   R( 33, 13) =       6.6898
   R( 33, 14) =       5.3058
   R( 33, 15) =       4.5695
   R( 33, 16) =       5.5107
   R( 33, 17) =       5.6086
   R( 33, 18) =       3.0296
   R( 33, 19) =       5.3348
   R( 33, 20) =       5.5526
   R( 33, 21) =       4.6200
   R( 33, 22) =       4.0558
   R( 33, 23) =       4.6204
   R( 33, 24) =       4.0745
   R( 33, 25) =       2.6674
   R( 33, 26) =       2.6387
   R( 33, 27) =       1.5411
   R( 33, 28) =       9.6338
   R( 33, 29) =      11.1194
   R( 33, 30) =      10.7803
   R( 33, 31) =       3.0800
   R( 33, 32) =       2.6674
   R( 34,  0) =       7.1014
   R( 34,  1) =       6.2106
   R( 34,  2) =       6.7477
   R( 34,  3) =       8.0315
   R( 34,  4) =       7.0685
   R( 34,  5) =       8.1683
   R( 34,  6) =       9.6338
   R( 34,  7) =       7.7003
   R( 34,  8) =       9.2403
   R( 34,  9) =      10.0911
   R( 34, 10) =       9.6014
   R( 34, 11) =       8.1301
   R( 34, 12) =       7.0465
   R( 34, 13) =       7.9731
   R( 34, 14) =       6.6781
   R( 34, 15) =       6.1095
   R( 34, 16) =       7.0132
   R( 34, 17) =       4.6706
   R( 34, 18) =       4.5695
   R( 34, 19) =       5.5526
   R( 34, 20) =       5.3348
   R( 34, 21) =       4.0745
   R( 34, 22) =       5.3058
   R( 34, 23) =       5.5389
   R( 34, 24) =       4.6201
   R( 34, 25) =       3.0800
   R( 34, 26) =       4.0365
   R( 34, 27) =       2.6387
   R( 34, 28) =      10.1065
   R( 34, 29) =      11.6338
   R( 34, 30) =      11.6204
   R( 34, 31) =       2.6674
   R( 34, 32) =       1.5400
   R( 34, 33) =       1.5400
   R( 35,  0) =       8.1872
   R( 35,  1) =       7.1014
   R( 35,  2) =       8.0315
   R( 35,  3) =       9.3926
   R( 35,  4) =       8.5837
   R( 35,  5) =       9.6338
   R( 35,  6) =      11.1194
   R( 35,  7) =       9.2403
   R( 35,  8) =      10.7803
   R( 35,  9) =      11.6204
   R( 35, 10) =      11.0914
   R( 35, 11) =       9.6014
   R( 35, 12) =       8.5656
   R( 35, 13) =       9.3428
   R( 35, 14) =       7.9731
   R( 35, 15) =       7.0131
   R( 35, 16) =       8.1108
